x,y,stall_size,genre,performance
-16,5,M,Educational & Academic,non-better
-4,10,L,"Arts, Design & Photography",better
19,15,M,Children & Young Adult,better
-8,8,M,Business & Management,non-better
-3,12,S,"Health, Wellness & Lifestyle",better
7,10,S,Children & Young Adult,better
-12,8,M,"Arts, Design & Photography",better
-20,3,M,"Religion, Philosophy & Spirituality",better
-10,14,S,Science & Technology,non-better
-18,8,S,Others,non-better
15,3,S,History & Culture,better
11,7,S,"Arts, Design & Photography",better
0,0,M,"Religion, Philosophy & Spirituality",better
14,3,M,"Arts, Design & Photography",better
-7,9,L,"Arts, Design & Photography",non-better
-18,3,L,"Arts, Design & Photography",non-better
4,7,M,"Religion, Philosophy & Spirituality",non-better
17,1,L,Children & Young Adult,better
-5,2,S,History & Culture,non-better
16,9,M,"Arts, Design & Photography",better
20,2,S,Fiction & Literature,non-better
8,13,M,Children & Young Adult,better
-11,11,L,"Religion, Philosophy & Spirituality",better
5,5,S,Others,non-better
19,8,L,"Health, Wellness & Lifestyle",better
-9,12,S,Science & Technology,better
-20,7,S,Business & Management,non-better
7,11,M,"Health, Wellness & Lifestyle",non-better
-13,13,M,"Health, Wellness & Lifestyle",non-better
12,3,S,"Arts, Design & Photography",non-better
16,11,S,Fiction & Literature,better
12,12,M,Business & Management,non-better
-3,11,S,"Religion, Philosophy & Spirituality",non-better
-11,10,S,Children & Young Adult,better
-6,0,M,Children & Young Adult,non-better
15,15,M,Fiction & Literature,better
-9,13,S,Educational & Academic,non-better
3,15,M,"Health, Wellness & Lifestyle",non-better
-13,0,L,"Health, Wellness & Lifestyle",better
16,7,M,"Arts, Design & Photography",better
3,8,L,Fiction & Literature,better
20,15,L,"Religion, Philosophy & Spirituality",non-better
16,3,L,Children & Young Adult,better
7,12,M,History & Culture,better
-9,11,L,Science & Technology,non-better
-11,14,M,Children & Young Adult,better
-5,13,L,Educational & Academic,better
-9,15,M,Educational & Academic,non-better
-13,6,L,Science & Technology,non-better
1,15,L,"Arts, Design & Photography",better
-12,0,S,Others,non-better
-15,0,M,Children & Young Adult,non-better
3,0,S,History & Culture,non-better
-3,14,S,"Health, Wellness & Lifestyle",better
-3,3,L,Fiction & Literature,better
19,2,S,Educational & Academic,better
-5,3,L,History & Culture,non-better
9,1,M,History & Culture,non-better
-4,15,M,Children & Young Adult,better
-14,2,L,"Arts, Design & Photography",non-better
-20,7,L,Fiction & Literature,better
9,5,M,"Arts, Design & Photography",better
14,14,M,Others,non-better
-6,6,L,Fiction & Literature,better
-12,10,S,Science & Technology,better
19,4,S,Fiction & Literature,better
3,15,M,Others,better
9,14,M,"Health, Wellness & Lifestyle",non-better
1,1,S,Business & Management,non-better
-9,2,S,Fiction & Literature,non-better
7,1,S,History & Culture,better
13,7,L,History & Culture,non-better
14,9,S,"Arts, Design & Photography",non-better
9,10,L,Science & Technology,better
3,9,M,Others,better
4,7,L,Science & Technology,better
13,10,S,Children & Young Adult,better
-11,10,M,History & Culture,better
6,15,L,Fiction & Literature,non-better
8,14,L,Business & Management,non-better
-7,13,L,Business & Management,better
16,10,L,Fiction & Literature,non-better
17,4,L,Business & Management,better
15,10,L,Others,better
-6,10,L,"Arts, Design & Photography",better
19,8,M,Educational & Academic,non-better
11,13,S,History & Culture,better
12,12,M,Fiction & Literature,non-better
9,2,L,Others,better
-12,0,S,"Religion, Philosophy & Spirituality",better
-19,0,S,Fiction & Literature,better
12,13,L,History & Culture,better
5,5,M,Business & Management,non-better
11,10,L,"Health, Wellness & Lifestyle",better
-4,1,L,History & Culture,non-better
-14,0,L,"Religion, Philosophy & Spirituality",better
-20,8,L,"Health, Wellness & Lifestyle",non-better
-9,8,S,Children & Young Adult,non-better
-2,12,M,"Health, Wellness & Lifestyle",better
19,9,L,Educational & Academic,better
2,3,M,Business & Management,non-better
-11,10,S,Children & Young Adult,better
-4,6,S,"Health, Wellness & Lifestyle",better
7,14,M,Others,non-better
11,14,S,Fiction & Literature,better
4,10,L,Others,non-better
-17,6,L,Business & Management,better
-1,14,L,Business & Management,non-better
-20,15,M,Business & Management,better
12,0,M,Business & Management,better
10,8,M,History & Culture,non-better
18,15,L,Fiction & Literature,non-better
-11,2,M,Business & Management,better
-2,7,M,History & Culture,non-better
12,7,L,"Arts, Design & Photography",better
-11,11,S,History & Culture,non-better
-11,11,M,"Religion, Philosophy & Spirituality",non-better
4,15,S,"Health, Wellness & Lifestyle",better
10,2,L,"Arts, Design & Photography",non-better
-9,7,L,Science & Technology,non-better
9,12,M,History & Culture,better
-9,12,S,Fiction & Literature,better
5,7,S,Science & Technology,non-better
-9,14,M,History & Culture,non-better
-4,7,L,"Arts, Design & Photography",non-better
-16,10,M,History & Culture,better
-19,1,L,History & Culture,better
4,4,L,Business & Management,better
2,2,M,Fiction & Literature,better
8,14,L,"Arts, Design & Photography",non-better
12,3,S,Educational & Academic,non-better
-8,15,L,Educational & Academic,non-better
3,5,M,Children & Young Adult,non-better
17,12,M,Others,non-better
-17,10,M,Fiction & Literature,better
10,2,S,Science & Technology,non-better
18,3,M,Fiction & Literature,better
10,0,S,Children & Young Adult,better
-7,3,S,Children & Young Adult,non-better
12,6,M,Fiction & Literature,non-better
-19,5,S,Educational & Academic,non-better
14,9,S,"Health, Wellness & Lifestyle",non-better
10,2,L,Children & Young Adult,better
13,8,S,"Health, Wellness & Lifestyle",better
17,11,M,Business & Management,non-better
7,11,M,"Religion, Philosophy & Spirituality",better
-11,7,L,"Health, Wellness & Lifestyle",non-better
-12,10,L,Others,better
7,6,S,Children & Young Adult,better
15,5,L,Educational & Academic,better
2,4,L,Others,non-better
-14,11,L,Educational & Academic,non-better
18,13,M,Others,better
6,9,L,Others,non-better
6,8,L,"Health, Wellness & Lifestyle",non-better
-18,14,L,Children & Young Adult,better
-14,0,S,"Religion, Philosophy & Spirituality",non-better
-17,1,L,Others,non-better
5,9,M,"Arts, Design & Photography",non-better
14,3,L,"Arts, Design & Photography",non-better
13,0,S,"Arts, Design & Photography",non-better
11,15,M,Fiction & Literature,non-better
7,2,L,Educational & Academic,non-better
14,13,M,Educational & Academic,non-better
20,9,M,"Health, Wellness & Lifestyle",better
-6,7,M,Others,non-better
-3,13,S,Educational & Academic,non-better
16,4,S,History & Culture,better
12,3,L,Business & Management,non-better
-20,5,S,Others,non-better
-7,15,S,Fiction & Literature,non-better
-17,10,S,Business & Management,non-better
-20,10,L,"Arts, Design & Photography",non-better
10,4,M,"Arts, Design & Photography",non-better
16,13,S,Science & Technology,better
-3,11,L,Others,non-better
-5,13,M,"Arts, Design & Photography",non-better
17,3,L,"Religion, Philosophy & Spirituality",better
8,9,M,Educational & Academic,non-better
7,11,S,Science & Technology,non-better
13,11,L,Others,non-better
12,11,L,"Health, Wellness & Lifestyle",non-better
-13,7,S,Science & Technology,non-better
-4,8,L,Science & Technology,non-better
-16,13,S,Science & Technology,non-better
-9,10,M,Fiction & Literature,non-better
10,15,M,Educational & Academic,non-better
20,5,S,Children & Young Adult,better
12,8,L,Others,non-better
3,12,S,Science & Technology,better
15,15,M,"Health, Wellness & Lifestyle",non-better
17,7,S,Children & Young Adult,better
20,0,S,"Health, Wellness & Lifestyle",better
0,9,M,Business & Management,non-better
-6,12,M,"Religion, Philosophy & Spirituality",non-better
-2,1,M,Science & Technology,better
16,7,M,Fiction & Literature,better
-2,13,S,Others,better
-12,6,L,Educational & Academic,better
-17,13,M,Educational & Academic,better
3,6,L,"Health, Wellness & Lifestyle",non-better
0,0,L,History & Culture,better
12,5,L,Business & Management,non-better
-20,15,L,Others,non-better
20,15,L,"Religion, Philosophy & Spirituality",better
10,6,M,History & Culture,better
-17,15,M,Educational & Academic,better
7,12,M,"Arts, Design & Photography",non-better
16,15,L,"Health, Wellness & Lifestyle",non-better
-20,1,L,Fiction & Literature,non-better
3,1,M,Children & Young Adult,non-better
-10,0,L,Business & Management,better
8,7,L,Children & Young Adult,better
5,11,S,Others,better
2,9,M,Educational & Academic,better
1,9,L,Business & Management,non-better
7,15,S,Business & Management,non-better
8,10,S,Science & Technology,non-better
-10,8,L,"Health, Wellness & Lifestyle",better
17,14,L,"Arts, Design & Photography",non-better
-20,15,M,"Health, Wellness & Lifestyle",better
15,0,M,Educational & Academic,non-better
1,15,S,History & Culture,better
19,11,S,Others,better
2,2,S,"Arts, Design & Photography",non-better
18,13,M,Children & Young Adult,better
-12,3,M,History & Culture,better
15,14,S,Children & Young Adult,non-better
13,10,S,Others,better
-13,9,L,Science & Technology,better
-1,2,S,Others,better
10,7,S,History & Culture,better
16,1,L,"Health, Wellness & Lifestyle",better
-18,13,L,Fiction & Literature,better
7,3,M,Others,better
-8,12,M,"Health, Wellness & Lifestyle",non-better
-18,12,M,Others,non-better
2,11,M,Educational & Academic,non-better
-2,3,S,"Health, Wellness & Lifestyle",non-better
10,4,M,"Arts, Design & Photography",non-better
-18,5,M,"Religion, Philosophy & Spirituality",better
-19,10,M,"Religion, Philosophy & Spirituality",non-better
-11,6,M,Others,non-better
3,15,L,Children & Young Adult,better
13,0,S,Fiction & Literature,better
-19,9,S,"Health, Wellness & Lifestyle",better
9,9,L,Educational & Academic,better
5,12,S,"Religion, Philosophy & Spirituality",better
7,3,S,"Health, Wellness & Lifestyle",non-better
20,12,M,Business & Management,better
-2,0,L,Fiction & Literature,non-better
2,1,S,"Arts, Design & Photography",non-better
1,9,S,"Religion, Philosophy & Spirituality",better
-12,15,S,History & Culture,better
4,9,L,Fiction & Literature,better
1,13,L,"Health, Wellness & Lifestyle",better
-6,12,S,"Religion, Philosophy & Spirituality",better
5,9,M,Children & Young Adult,better
-1,11,M,"Religion, Philosophy & Spirituality",better
11,1,L,Educational & Academic,better
2,2,M,Children & Young Adult,non-better
-3,13,M,Educational & Academic,better
-18,1,M,"Health, Wellness & Lifestyle",better
17,0,M,"Religion, Philosophy & Spirituality",non-better
11,5,M,Business & Management,non-better
-20,12,S,Others,better
16,14,S,Business & Management,non-better
-20,3,M,History & Culture,better
-6,0,S,"Religion, Philosophy & Spirituality",non-better
4,3,L,Children & Young Adult,better
3,1,S,History & Culture,non-better
0,8,M,History & Culture,better
3,14,S,Business & Management,better
2,7,M,Business & Management,better
8,12,L,"Religion, Philosophy & Spirituality",non-better
5,5,S,Science & Technology,non-better
11,9,M,Fiction & Literature,non-better
-18,1,L,Science & Technology,non-better
-13,14,S,Educational & Academic,better
1,15,S,History & Culture,better
-3,5,M,Business & Management,non-better
-4,14,S,History & Culture,non-better
-18,8,M,Business & Management,non-better
-9,13,M,Fiction & Literature,non-better
12,4,L,History & Culture,non-better
3,8,S,Science & Technology,better
-6,14,L,"Arts, Design & Photography",non-better
18,15,M,Children & Young Adult,better
18,6,L,Educational & Academic,non-better
-5,12,M,Children & Young Adult,non-better
-9,15,L,History & Culture,better
11,9,L,Business & Management,non-better
7,8,M,"Arts, Design & Photography",better
7,3,S,"Health, Wellness & Lifestyle",better
-2,4,M,"Health, Wellness & Lifestyle",non-better
4,2,L,Educational & Academic,better
7,4,S,Educational & Academic,non-better
-13,11,M,Business & Management,better
16,11,M,Children & Young Adult,non-better
-11,15,M,"Arts, Design & Photography",non-better
5,1,L,Fiction & Literature,better
-20,14,S,Others,better
-11,12,S,Educational & Academic,non-better
-18,5,L,Science & Technology,better
11,3,L,Educational & Academic,better
6,15,S,Others,better
-5,4,M,Children & Young Adult,non-better
8,13,M,Fiction & Literature,non-better
19,10,L,"Religion, Philosophy & Spirituality",better
17,9,M,"Religion, Philosophy & Spirituality",non-better
20,14,M,Science & Technology,better
16,9,M,Science & Technology,better
-16,6,M,Others,non-better
20,15,S,History & Culture,non-better
12,8,L,Science & Technology,better
1,7,M,History & Culture,non-better
12,6,S,"Arts, Design & Photography",better
-16,12,S,Educational & Academic,better
10,14,L,"Arts, Design & Photography",non-better
-5,9,S,Educational & Academic,better
-8,6,S,"Health, Wellness & Lifestyle",better
12,0,S,History & Culture,non-better
-3,0,S,Educational & Academic,non-better
-12,1,S,Science & Technology,better
12,11,S,Business & Management,better
2,8,L,Educational & Academic,non-better
14,3,M,Others,better
-4,2,M,Science & Technology,better
-19,12,M,"Arts, Design & Photography",non-better
-9,7,L,History & Culture,non-better
-17,9,M,"Arts, Design & Photography",better
6,5,S,Fiction & Literature,non-better
15,4,S,"Health, Wellness & Lifestyle",better
20,4,M,Business & Management,better
1,1,M,Children & Young Adult,better
-17,9,S,Business & Management,non-better
10,15,L,"Arts, Design & Photography",non-better
-12,2,S,Science & Technology,non-better
2,5,M,"Religion, Philosophy & Spirituality",non-better
6,11,S,"Religion, Philosophy & Spirituality",better
6,2,M,"Religion, Philosophy & Spirituality",better
-13,9,S,Others,better
10,6,S,"Religion, Philosophy & Spirituality",non-better
-15,8,S,Science & Technology,better
-8,0,L,Children & Young Adult,better
-17,10,L,History & Culture,better
5,1,M,"Arts, Design & Photography",better
-2,15,M,"Religion, Philosophy & Spirituality",non-better
8,5,S,Educational & Academic,better
9,7,L,Business & Management,non-better
-9,4,L,Educational & Academic,better
-12,14,L,Children & Young Adult,non-better
-4,1,S,Fiction & Literature,better
15,9,M,"Health, Wellness & Lifestyle",non-better
-5,2,L,"Religion, Philosophy & Spirituality",non-better
-1,11,L,Fiction & Literature,non-better
14,1,S,Others,better
-3,13,S,History & Culture,non-better
18,7,M,"Health, Wellness & Lifestyle",non-better
20,11,L,"Arts, Design & Photography",non-better
1,7,L,Others,non-better
-18,0,L,Others,non-better
-18,1,L,Educational & Academic,better
8,4,S,Business & Management,better
3,0,M,Educational & Academic,better
-5,3,M,History & Culture,non-better
-4,0,S,"Arts, Design & Photography",better
-1,12,S,Business & Management,better
-7,10,S,"Arts, Design & Photography",non-better
-10,5,M,"Arts, Design & Photography",better
-16,12,L,Fiction & Literature,better
4,12,S,Educational & Academic,better
4,3,M,"Arts, Design & Photography",better
-8,3,S,Business & Management,non-better
-15,14,S,Science & Technology,non-better
0,14,L,Fiction & Literature,better
1,3,L,Science & Technology,non-better
-19,2,L,"Arts, Design & Photography",better
1,13,M,Educational & Academic,non-better
-10,13,S,"Health, Wellness & Lifestyle",non-better
-15,15,M,Educational & Academic,non-better
-9,8,S,Educational & Academic,better
-11,5,L,History & Culture,non-better
-14,1,M,History & Culture,non-better
7,0,S,Fiction & Literature,better
-8,11,M,Others,non-better
-2,2,L,Fiction & Literature,better
3,15,S,Others,non-better
-8,4,S,Others,non-better
2,5,M,Business & Management,non-better
13,14,L,Science & Technology,better
5,7,S,Others,better
0,3,S,Business & Management,non-better
-10,8,S,Children & Young Adult,non-better
12,9,M,Fiction & Literature,non-better
8,6,S,Educational & Academic,non-better
-16,15,L,Fiction & Literature,better
16,0,L,History & Culture,non-better
18,10,M,"Health, Wellness & Lifestyle",better
14,11,M,"Arts, Design & Photography",better
-4,0,S,Business & Management,non-better
5,2,M,"Arts, Design & Photography",non-better
-14,6,L,"Arts, Design & Photography",better
-14,4,M,Educational & Academic,better
-15,2,M,Children & Young Adult,better
-5,10,M,Science & Technology,non-better
2,13,M,"Arts, Design & Photography",better
-16,2,L,"Health, Wellness & Lifestyle",non-better
-12,12,L,"Arts, Design & Photography",non-better
15,4,M,Business & Management,better
6,8,S,Fiction & Literature,better
-1,2,S,Fiction & Literature,non-better
0,9,L,History & Culture,non-better
-11,8,L,Children & Young Adult,better
-6,1,L,History & Culture,non-better
-12,2,S,History & Culture,non-better
5,1,S,"Religion, Philosophy & Spirituality",non-better
-14,10,L,Children & Young Adult,better
-3,13,M,"Health, Wellness & Lifestyle",better
-16,15,M,History & Culture,non-better
0,6,S,Business & Management,non-better
-3,10,S,History & Culture,better
0,9,S,Business & Management,better
10,3,S,Fiction & Literature,non-better
-5,3,L,"Arts, Design & Photography",non-better
14,1,L,Others,non-better
16,10,M,History & Culture,better
-13,7,S,Fiction & Literature,better
0,8,L,Fiction & Literature,non-better
-1,15,S,Educational & Academic,non-better
-6,11,L,Science & Technology,non-better
-5,13,L,Others,better
-14,13,L,"Health, Wellness & Lifestyle",better
3,7,S,Others,non-better
-17,8,S,Science & Technology,better
10,0,S,Business & Management,non-better
19,12,L,Science & Technology,non-better
-3,0,L,Science & Technology,non-better
-10,0,M,"Health, Wellness & Lifestyle",better
18,11,M,Science & Technology,better
12,2,L,Fiction & Literature,non-better
-11,12,M,"Religion, Philosophy & Spirituality",better
5,6,L,Science & Technology,better
-2,2,M,Business & Management,better
18,11,M,"Arts, Design & Photography",non-better
-9,15,L,Science & Technology,better
12,1,M,"Religion, Philosophy & Spirituality",better
-15,3,S,Business & Management,non-better
17,10,L,Children & Young Adult,better
-10,6,S,Business & Management,better
1,12,M,Others,better
2,0,L,Educational & Academic,non-better
7,3,M,Children & Young Adult,non-better
-13,8,S,Educational & Academic,non-better
-9,15,L,Others,better
-11,6,M,Others,better
11,8,S,Business & Management,non-better
-11,0,L,Fiction & Literature,better
-18,14,L,Educational & Academic,non-better
-4,3,M,"Religion, Philosophy & Spirituality",non-better
-16,9,S,"Health, Wellness & Lifestyle",better
1,4,L,"Health, Wellness & Lifestyle",better
-20,11,M,"Religion, Philosophy & Spirituality",non-better
11,7,M,Fiction & Literature,better
11,6,M,Science & Technology,non-better
9,4,S,"Religion, Philosophy & Spirituality",better
7,2,S,Science & Technology,better
-15,7,M,Business & Management,better
20,2,S,Educational & Academic,better
-14,0,M,"Health, Wellness & Lifestyle",better
3,1,S,Fiction & Literature,non-better
16,8,L,Fiction & Literature,better
-10,6,S,Children & Young Adult,better
-6,5,S,"Religion, Philosophy & Spirituality",non-better
-5,10,L,Others,better
16,9,S,Science & Technology,better
-5,15,S,"Religion, Philosophy & Spirituality",non-better
15,14,L,Educational & Academic,non-better
19,5,S,Educational & Academic,better
7,5,S,History & Culture,better
13,0,L,Science & Technology,better
8,2,M,Business & Management,better
-16,14,L,Fiction & Literature,non-better
18,7,L,"Arts, Design & Photography",better
8,8,L,Others,better
14,3,S,Educational & Academic,better
8,1,L,Fiction & Literature,non-better
5,5,M,"Health, Wellness & Lifestyle",non-better
-1,0,M,Others,better
-20,10,S,"Health, Wellness & Lifestyle",non-better
12,4,S,Fiction & Literature,better
-13,0,L,"Religion, Philosophy & Spirituality",better
16,7,L,"Health, Wellness & Lifestyle",better
-12,8,M,Others,better
1,15,L,"Health, Wellness & Lifestyle",better
9,2,M,History & Culture,non-better
-14,10,S,Educational & Academic,better
8,0,M,History & Culture,non-better
11,1,L,History & Culture,better
-6,2,S,Science & Technology,better
7,2,S,Science & Technology,non-better
1,7,S,Science & Technology,better
11,6,L,Business & Management,better
-4,1,S,Others,non-better
19,2,M,"Arts, Design & Photography",better
11,6,S,History & Culture,better
14,4,S,"Arts, Design & Photography",non-better
3,4,S,Others,better
-14,12,S,Fiction & Literature,non-better
-1,4,M,History & Culture,non-better
10,7,S,"Health, Wellness & Lifestyle",non-better
-17,13,M,Children & Young Adult,better
1,7,M,Others,better
-12,0,M,Children & Young Adult,better
19,11,M,"Religion, Philosophy & Spirituality",better
-6,10,L,"Health, Wellness & Lifestyle",better
14,3,L,Science & Technology,non-better
14,8,M,"Health, Wellness & Lifestyle",non-better
0,14,L,"Religion, Philosophy & Spirituality",better
8,8,M,Children & Young Adult,better
0,8,S,"Health, Wellness & Lifestyle",better
3,10,M,Others,non-better
-20,5,S,Business & Management,non-better
11,10,L,Science & Technology,better
-18,0,S,Educational & Academic,non-better
20,2,M,"Arts, Design & Photography",non-better
20,1,M,Others,better
16,2,M,Fiction & Literature,non-better
2,9,L,Fiction & Literature,better
-17,0,S,Fiction & Literature,better
-19,9,L,History & Culture,non-better
2,8,L,Others,non-better
13,6,M,"Religion, Philosophy & Spirituality",non-better
2,5,M,History & Culture,better
-2,4,M,History & Culture,non-better
-12,10,M,History & Culture,better
-15,6,L,"Arts, Design & Photography",non-better
18,10,L,Business & Management,better
12,3,S,Business & Management,non-better
2,5,L,"Health, Wellness & Lifestyle",better
15,3,M,Science & Technology,non-better
18,0,M,Educational & Academic,better
1,0,M,Business & Management,non-better
-4,2,L,History & Culture,non-better
10,15,L,History & Culture,better
-14,1,L,Educational & Academic,better
-5,3,L,Others,non-better
10,1,S,"Health, Wellness & Lifestyle",non-better
4,3,M,"Religion, Philosophy & Spirituality",non-better
-2,8,M,Science & Technology,non-better
-2,11,L,"Religion, Philosophy & Spirituality",better
-4,9,S,"Religion, Philosophy & Spirituality",better
-9,2,S,Educational & Academic,non-better
20,4,M,Fiction & Literature,non-better
18,5,L,Others,non-better
16,2,L,Fiction & Literature,non-better
13,9,S,"Arts, Design & Photography",non-better
4,10,L,Fiction & Literature,non-better
-5,4,L,Fiction & Literature,non-better
15,0,L,Others,better
10,12,L,Others,non-better
-4,15,S,Others,better
0,7,M,Children & Young Adult,non-better
-13,3,L,Others,better
7,4,L,Science & Technology,non-better
-1,14,M,Others,non-better
7,12,S,Science & Technology,better
17,3,L,Educational & Academic,non-better
-10,12,M,Children & Young Adult,non-better
16,6,S,Others,non-better
17,15,S,"Religion, Philosophy & Spirituality",non-better
6,14,M,Science & Technology,better
-19,11,L,History & Culture,better
17,13,M,"Arts, Design & Photography",non-better
-3,14,M,Others,better
-3,1,M,Others,non-better
-17,4,M,"Arts, Design & Photography",better
3,11,M,Fiction & Literature,non-better
-18,10,M,"Health, Wellness & Lifestyle",better
3,12,L,Educational & Academic,non-better
-4,8,L,"Religion, Philosophy & Spirituality",non-better
2,10,L,"Health, Wellness & Lifestyle",non-better
4,13,S,Educational & Academic,non-better
-3,5,S,"Health, Wellness & Lifestyle",better
16,10,S,"Arts, Design & Photography",non-better
-10,15,L,Others,better
13,4,M,History & Culture,non-better
12,15,S,"Religion, Philosophy & Spirituality",non-better
-10,13,M,"Arts, Design & Photography",better
6,13,L,"Religion, Philosophy & Spirituality",better
20,5,M,History & Culture,non-better
-4,5,L,Science & Technology,non-better
-8,11,S,"Arts, Design & Photography",non-better
18,12,S,History & Culture,non-better
-6,15,M,Others,non-better
-12,8,M,Business & Management,non-better
-2,2,L,Business & Management,non-better
-8,13,L,"Health, Wellness & Lifestyle",better
10,5,M,Science & Technology,better
2,1,S,History & Culture,better
2,13,L,Others,better
10,4,S,"Arts, Design & Photography",non-better
-18,0,L,Business & Management,better
-7,9,L,Science & Technology,better
-11,6,M,Fiction & Literature,better
-9,13,L,Children & Young Adult,non-better
19,9,S,"Religion, Philosophy & Spirituality",better
-15,12,L,Science & Technology,non-better
19,3,S,Children & Young Adult,non-better
6,8,S,Educational & Academic,better
-14,4,L,Others,better
-4,13,M,Science & Technology,non-better
-14,2,L,Children & Young Adult,better
-8,7,L,"Arts, Design & Photography",non-better
18,12,M,History & Culture,non-better
-11,6,L,Fiction & Literature,better
15,6,L,Others,non-better
-2,5,L,"Religion, Philosophy & Spirituality",non-better
4,7,M,Others,better
-1,10,S,Educational & Academic,better
-9,14,M,Children & Young Adult,better
9,6,S,History & Culture,better
2,1,M,"Health, Wellness & Lifestyle",better
-10,13,M,Science & Technology,better
-3,9,L,"Religion, Philosophy & Spirituality",better
9,4,M,"Religion, Philosophy & Spirituality",non-better
11,7,L,"Religion, Philosophy & Spirituality",non-better
18,2,S,"Religion, Philosophy & Spirituality",non-better
8,5,L,Others,non-better
-4,15,L,History & Culture,better
-17,9,S,Others,non-better
-10,12,L,History & Culture,non-better
-9,9,S,"Health, Wellness & Lifestyle",non-better
-6,2,L,"Religion, Philosophy & Spirituality",better
-11,0,M,"Arts, Design & Photography",non-better
-16,0,M,Business & Management,better
-12,8,S,Educational & Academic,non-better
-17,5,M,"Health, Wellness & Lifestyle",non-better
13,3,M,Science & Technology,non-better
-6,11,M,"Arts, Design & Photography",better
17,6,M,Educational & Academic,better
-15,0,S,"Health, Wellness & Lifestyle",non-better
3,12,M,Educational & Academic,better
-6,15,S,"Arts, Design & Photography",better
9,8,L,Educational & Academic,better
8,11,M,"Arts, Design & Photography",non-better
-6,0,S,Business & Management,non-better
-7,14,S,Educational & Academic,non-better
20,1,S,"Arts, Design & Photography",better
-2,5,M,Children & Young Adult,better
15,5,S,Fiction & Literature,better
-20,13,S,Educational & Academic,non-better
1,8,L,Science & Technology,non-better
5,1,S,"Health, Wellness & Lifestyle",better
-3,7,M,"Religion, Philosophy & Spirituality",better
-3,15,S,Business & Management,better
-18,9,M,"Arts, Design & Photography",better
0,7,S,Business & Management,non-better
19,13,S,Children & Young Adult,non-better
5,6,L,Fiction & Literature,non-better
11,13,M,"Arts, Design & Photography",non-better
-4,10,M,Children & Young Adult,non-better
10,11,S,Fiction & Literature,better
-9,9,M,Fiction & Literature,better
4,8,L,"Religion, Philosophy & Spirituality",non-better
-13,15,M,Fiction & Literature,better
13,5,M,Others,better
-13,9,L,"Religion, Philosophy & Spirituality",better
4,1,M,"Religion, Philosophy & Spirituality",better
-16,15,L,"Health, Wellness & Lifestyle",non-better
11,1,L,Children & Young Adult,non-better
11,12,M,"Arts, Design & Photography",non-better
-3,9,S,Fiction & Literature,non-better
-12,8,S,History & Culture,non-better
20,0,L,"Religion, Philosophy & Spirituality",better
2,1,S,"Health, Wellness & Lifestyle",better
-6,14,L,"Religion, Philosophy & Spirituality",non-better
-9,13,L,Fiction & Literature,non-better
-18,9,S,Fiction & Literature,better
6,3,M,Children & Young Adult,better
8,12,L,"Religion, Philosophy & Spirituality",better
8,0,S,History & Culture,better
-4,7,M,"Health, Wellness & Lifestyle",non-better
-11,7,L,Others,non-better
6,3,L,"Arts, Design & Photography",non-better
-4,3,M,Business & Management,non-better
-18,0,M,History & Culture,better
-15,14,M,Business & Management,better
-20,14,M,"Religion, Philosophy & Spirituality",non-better
-9,9,M,"Health, Wellness & Lifestyle",non-better
7,3,L,History & Culture,non-better
10,1,M,History & Culture,non-better
-12,2,L,Children & Young Adult,better
15,7,M,Science & Technology,better
-4,6,S,Science & Technology,better
-13,11,S,Others,better
3,15,L,Educational & Academic,better
7,14,M,"Arts, Design & Photography",better
-10,1,M,Science & Technology,non-better
-2,14,L,History & Culture,better
-15,5,L,Children & Young Adult,non-better
5,4,S,"Religion, Philosophy & Spirituality",better
6,3,L,"Arts, Design & Photography",better
-11,11,M,"Arts, Design & Photography",better
5,5,L,"Arts, Design & Photography",non-better
-5,14,S,Educational & Academic,non-better
1,11,L,Business & Management,non-better
-13,12,M,History & Culture,better
7,13,S,Science & Technology,non-better
2,12,L,Educational & Academic,non-better
-17,4,M,Educational & Academic,non-better
12,15,S,Children & Young Adult,better
19,4,S,"Health, Wellness & Lifestyle",non-better
3,1,L,"Arts, Design & Photography",non-better
19,8,S,Science & Technology,non-better
15,14,S,"Religion, Philosophy & Spirituality",non-better
-14,6,L,Fiction & Literature,better
-17,1,L,"Arts, Design & Photography",non-better
4,10,L,Fiction & Literature,non-better
-5,7,S,"Arts, Design & Photography",non-better
7,1,S,"Health, Wellness & Lifestyle",non-better
-20,15,S,History & Culture,non-better
16,7,M,"Health, Wellness & Lifestyle",better
-2,9,M,Science & Technology,better
20,10,L,"Religion, Philosophy & Spirituality",better
-17,8,M,"Arts, Design & Photography",better
11,0,S,Others,non-better
-4,11,S,Educational & Academic,better
-17,10,L,"Arts, Design & Photography",better
19,10,M,"Health, Wellness & Lifestyle",non-better
10,6,L,"Religion, Philosophy & Spirituality",better
14,9,S,Others,non-better
-19,12,S,"Religion, Philosophy & Spirituality",better
12,10,S,Others,better
2,10,S,Children & Young Adult,better
3,4,L,"Health, Wellness & Lifestyle",better
0,11,S,Business & Management,better
1,5,M,Others,better
-15,14,L,"Religion, Philosophy & Spirituality",non-better
2,0,L,"Health, Wellness & Lifestyle",better
-7,3,L,Fiction & Literature,better
12,0,M,Business & Management,non-better
-14,4,S,"Arts, Design & Photography",non-better
-4,1,M,"Health, Wellness & Lifestyle",better
1,13,L,Science & Technology,better
-7,4,M,History & Culture,better
4,8,M,Educational & Academic,non-better
